trust,date,venti
Royal Surrey County Hospital NHS Foundation Trust,2020-12-22,8
Royal Surrey County Hospital NHS Foundation Trust,2020-12-21,8
Royal Surrey County Hospital NHS Foundation Trust,2020-12-20,8
Royal Surrey County Hospital NHS Foundation Trust,2020-12-19,8
Royal Surrey County Hospital NHS Foundation Trust,2020-12-18,7
Royal Surrey County Hospital NHS Foundation Trust,2020-12-17,8
Royal Surrey County Hospital NHS Foundation Trust,2020-12-16,7
Royal Surrey County Hospital NHS Foundation Trust,2020-12-15,6
Royal Surrey County Hospital NHS Foundation Trust,2020-12-14,6
Royal Surrey County Hospital NHS Foundation Trust,2020-12-13,5
Royal Surrey County Hospital NHS Foundation Trust,2020-12-12,4
Royal Surrey County Hospital NHS Foundation Trust,2020-12-11,5
Royal Surrey County Hospital NHS Foundation Trust,2020-12-10,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-09,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-08,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-07,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-06,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-05,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-04,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-03,3
Royal Surrey County Hospital NHS Foundation Trust,2020-12-02,4
Royal Surrey County Hospital NHS Foundation Trust,2020-12-01,5
Royal Surrey County Hospital NHS Foundation Trust,2020-11-30,5
Royal Surrey County Hospital NHS Foundation Trust,2020-11-29,5
Royal Surrey County Hospital NHS Foundation Trust,2020-11-28,5
Royal Surrey County Hospital NHS Foundation Trust,2020-11-27,4
Royal Surrey County Hospital NHS Foundation Trust,2020-11-26,3
Royal Surrey County Hospital NHS Foundation Trust,2020-11-25,3
Royal Surrey County Hospital NHS Foundation Trust,2020-11-24,3
Royal Surrey County Hospital NHS Foundation Trust,2020-11-23,3
